timestamp,aX,aY,aZ,gX,gY,gZ
275,0.1826,0.5533,0.6082,20.9351,-109.9854,69.9463
276,0.0378,0.7041,0.7054,20.0195,-61.6455,88.6841
277,-0.1631,0.7607,0.6339,-0.3052,-37.9639,70.1294
278,-0.3425,0.7356,0.5739,-7.8735,-52.3682,41.6870
279,-0.3762,0.5927,0.5059,5.7373,-96.6187,49.1333
280,-0.5601,0.6232,0.5079,15.1978,-113.0371,25.6348
281,-0.6592,0.5179,0.3580,120.7275,-148.6816,-18.7378
282,-0.6753,0.1271,0.3895,311.9507,-177.8564,-63.3545
283,-0.8257,-0.1073,0.5586,304.4434,-243.1030,-53.7720
284,-1.0842,-0.3202,0.1058,342.8345,-217.0410,2.8076
285,-0.9396,-0.4613,0.1829,297.4243,-191.1621,102.7832
286,-1.0695,-0.5092,-0.0320,179.9927,-87.0972,178.8330
287,-0.8752,-0.6057,-0.1188,76.5381,-88.3789,132.0801
288,-0.5686,-0.9590,-0.2753,3.2959,-30.3345,196.5332
289,-0.2667,-1.2256,-0.0195,-39.7339,10.8643,296.8750
290,-0.0577,-1.2700,0.0444,-202.3315,102.2339,317.8101
291,0.0165,-1.3000,0.4321,-293.2739,203.7354,254.6387
292,0.4817,-0.9669,0.6115,-404.8462,71.1670,198.3032
293,0.6392,-0.4742,0.6591,-377.9297,-136.5356,161.4990
294,0.3246,0.2192,0.6226,-207.5806,-117.9810,93.2617
295,0.7039,0.2520,0.5734,-107.6660,-102.4170,83.7402
296,0.2678,0.6218,0.7784,-29.0527,-104.6753,138.1226
297,0.0831,0.7158,0.7108,-21.4844,-72.5708,81.7871
298,-0.2505,0.7360,0.4948,-20.9351,-84.8389,94.6045
299,-0.4725,0.6842,0.4207,-35.9497,-95.2148,41.9312
300,-0.5142,0.6423,0.2375,59.3262,-163.6963,-11.7187
301,-0.5254,0.3467,0.4370,213.1958,-194.3359,-48.8892
302,-0.8479,-0.0425,0.7050,392.5781,-248.2300,-108.0933
303,-0.8016,-0.2078,0.8512,329.1016,-217.1021,-54.3823
304,-0.9727,-0.3423,0.1871,257.3242,-213.6230,56.8237
305,-0.8030,-0.4395,0.0466,212.9517,-169.7388,92.6514
306,-1.0188,-0.5216,-0.0618,128.0518,-101.4404,168.2129
