gX,gY,gZ
1.3428,-6.8359,-8.1787
-0.1831,-14.9536,-6.6528
-1.7700,-9.8877,-6.0425
0.0610,-3.2959,-4.0894
0.7935,-8.4839,-6.1646
-1.7700,0.4272,-3.7842
2.1362,-6.2256,-7.2021
-1.4038,2.0142,-3.3569
1.3428,-2.1973,-5.4932
6.5308,1.0986,-4.3335
-4.5776,-7.2632,-3.9062
-1.1597,-4.3945,-2.0142
-1.5259,0.1831,-0.4272
-2.1973,4.6997,2.6855
2.1973,10.3760,4.6997
0.6104,2.5024,1.1597
52.6733,280.0293,95.8252
49.6216,404.2358,165.7104
42.6025,397.8882,166.6870
58.4717,405.7617,165.8936
51.2085,363.5864,177.2461
30.2734,327.8198,175.4150
-4.5166,197.8760,124.3896
-17.9443,111.1450,68.6646
-11.5967,56.0913,39.9170
-9.5825,21.6675,16.3574
-7.1411,9.7046,3.1128
-1.2207,13.3667,0.1831
-1.1597,7.1411,-3.4790
-0.0610,19.3481,1.2207
-2.9297,8.7891,1.8311
-1.7090,15.5029,-0.5493
6.7749,19.6533,3.2349
-3.7231,-4.0894,-4.0894
0.1221,-14.4653,-8.9722
-0.2441,-3.8452,-4.3945
-4.6387,-2.0752,-1.9531
2.8076,-2.8687,-2.9907
-1.7090,-5.3711,-5.1880
-1.4038,-8.6670,-5.3101
-1.1597,2.3804,-0.4883
-0.9766,-7.9956,-5.3101
3.4180,-0.7935,-2.9907
-2.9907,-9.7656,-2.7466
0.6714,-3.1128,-0.9155
-3.0518,-4.7607,-1.4648
-6.7139,-10.6201,-2.6245
4.6387,-1.5259,-4.8828
69.8853,416.8091,118.6523
104.6143,508.6670,201.8433
83.3130,462.9517,224.7314
30.9448,284.6680,168.0298
-6.8359,136.0474,97.8394
-10.1929,81.8481,71.2280
4.5776,57.7393,36.3159
-1.7700,26.2451,14.6484
5.1880,27.4658,18.6157
0.7935,19.6533,7.0801
