gX,gY,gZ
480.9570,-349.0601,-243.2861
500.9155,-291.8701,-135.9863
410.0952,-285.4004,7.9346
413.4521,-222.1069,166.5649
353.6987,-244.9951,245.9717
197.0215,-189.1479,179.5044
89.2334,-116.7603,103.1494
98.3887,-103.6987,135.8643
44.8608,-83.4351,148.9258
41.8091,-91.6748,186.6455
47.6074,-83.4351,237.9761
23.1323,-111.9385,208.0688
-4.6997,-104.9805,235.2905
-67.6270,-80.6885,282.9590
-123.9014,-69.9463,300.7202
-106.3843,-7.2021,344.9707
-103.3936,10.2539,362.1216
-161.0107,1.5259,324.8901
-130.1880,6.8970,279.1748
-109.9854,32.2876,240.4785
-169.6777,-21.7896,198.0591
-121.6431,-65.0635,133.0566
-179.3213,-163.0859,83.8623
-201.8433,-253.2349,69.5190
-180.2368,-331.6040,32.7759
-203.8574,-363.5864,19.0430
-172.1802,-282.4097,3.1128
-155.1514,-268.3716,-9.0332
-109.2529,-275.8179,-5.6152
-85.2661,-253.9062,-2.8687
-51.0864,-206.4209,-6.8359
-4.0283,-185.9741,-26.7944
481.4453,-398.1934,-240.7837
378.5400,-349.7925,-68.9697
352.3560,-295.1660,76.8433
360.1685,-263.6719,214.0503
285.0952,-272.0947,241.3330
215.6982,-249.4507,268.6768
185.1807,-206.9092,303.2837
96.3135,-157.5928,194.2749
66.4673,-132.3242,245.5444
18.3716,-109.1919,299.1943
-61.2183,-96.5576,285.2783
-100.2197,-78.9185,280.1514
-204.1016,-45.1660,186.6455
-271.1792,-39.6118,218.2007
-237.2437,27.4658,304.3213
-330.4443,-58.9600,180.1147
-292.6636,-109.1309,131.7139
-274.5361,-93.3838,117.4316
-191.7114,-24.5361,119.6899
-183.9600,-66.8945,96.3135
-199.1577,-122.3755,98.2056
-164.7339,-106.6284,79.8950
-219.4214,-179.1382,60.8521
-217.7734,-154.8462,32.0435
-169.3115,-151.5503,9.5825
-146.4233,-206.5430,8.1177
-65.1245,-245.8496,-23.5596
-15.7471,-179.1382,-50.1099
-9.3384,-156.4331,-32.1655
30.2124,-112.6099,-48.0957
23.7427,-38.8794,-12.0850
20.8130,-42.2363,-2.8687
322.9370,-375.5493,-139.4653
214.7827,-340.8203,-68.9087
283.3252,-284.4238,137.8174
305.0537,-246.2769,304.7485
271.6064,-212.3413,444.9463
195.5566,-204.0405,370.6665
130.1270,-170.3491,261.1084
77.1484,-106.6895,225.8301
-0.7935,-67.8101,234.8633
-45.4102,-62.5610,246.9482
-96.5576,-51.2695,287.1704
-160.9497,-33.3862,291.1377
-165.1001,-10.6812,279.3579
-198.7305,9.9487,316.5283
-164.6729,26.7334,277.0996
-181.3965,-10.6201,224.3042
-215.5151,-40.5884,175.5371
-182.3730,-107.6660,111.9385
-179.1992,-95.2759,82.0313
-192.6270,-158.5083,47.2412
-220.2759,-253.6621,12.6953
-194.3359,-223.3276,-2.3804
-200.5005,-220.5811,-8.6060
-153.8086,-168.8843,2.1362
